"","bin","wtAvgRestPct","wtSdRestPct","wtAvgMovingPct","wtSdMovingPct","wtAvgFeedingPct","wtSdFeedingPct","wtAvgOtherPct","wtSdOtherPct","wtAvgNumNN","wtSdNumNN","wtAvgDistNN","wtSdDistNN","wtAvgAnthDist","wtSdAnthDist"
"13",12,62.7363367799114,33.0660739140004,11.5324963072378,13.815347291793,13.2533234859675,20.7359179486951,12.4778434268833,16.1052622270044,1.41444830007746,1.15957972310824,3.98225892928791,3.50250528680479,171.578537296898,4.38243068342395
"14",13,68.2677528435291,27.8690049946357,11.4432831232708,11.8144622789731,11.043652013526,17.80007282147,9.24531201967415,11.183177719016,1.54542883473116,1.14100303376825,3.49919317547225,2.78908562464073,188.978718106363,4.69920394052711
"15",14,56.6902968542313,32.7453528022762,14.6876384581303,13.3109603895543,13.7793531236154,22.6118870649017,14.842711564023,20.4906914713094,0.995283859357778,0.78814154424017,5.12512271996563,3.86212920208867,203.095992467878,4.47253147918927
"16",15,67.4180327868852,33.9352900643183,8.40163934426229,9.04574391983649,14.5491803278689,21.8492289915535,9.63114754098361,16.8081895509462,1.82758921633922,1.32030827661179,3.32421474358974,3.6072142345431,217.858032786885,4.11692223723917
"17",16,71.6540837336994,34.1290784977976,5.93685655456417,7.11021332681272,13.1777625257378,24.2546266165611,9.23129718599863,20.1817561128801,2.16918771002505,1.37959752911061,2.83617944032517,2.42930959444499,231.093184625944,4.93096533141285
"18",17,73.9130434782609,27.1925217485525,8.15217391304348,10.9719259100036,12.7717391304348,15.2526161539549,5.16304347826087,8.57667065203997,1.2736161986162,1.24117689107539,4.62111070747434,3.56608803579352,246.556956521739,3.44070980438935
"19",18,47.5694444444444,25.2737466548915,20.1388888888889,11.8882641740902,8.33333333333333,9.77275996949252,23.9583333333333,25.0244074473709,1.16934609508139,0.93754301795571,4.36823078881902,3.11093697950977,262.888333333333,4.20408723365733
"20",19,63.4958382877527,33.245142905089,16.1117717003567,18.3032107683955,8.00634165675783,12.2457799779346,12.3860483551328,17.729785333419,0.924115945498434,0.90992744863692,4.73482980640341,2.71733461930184,277.381577487118,4.21700459789088
"21",20,63.5316395770869,30.1182853908565,10.0994161275051,13.2540798735021,9.3735205933407,14.3933767115278,16.9954237020672,17.1533982153579,1.83240863273805,1.98861415059653,3.93239183527488,3.54971944384113,292.970366103835,4.59956570706794
"22",21,60.746887966805,33.8819120788628,9.25311203319502,11.5845903044686,14.9377593360996,20.4457553585365,15.0622406639004,20.1765163670458,0.690515517202634,0.717574528616238,5.53345288261723,3.81166489045837,307.439419087137,4.36357790049124
"23",22,54.8611111111111,28.2316848783523,22.9166666666667,19.5476415693781,14.5833333333333,15.0263916040222,7.63888888888889,9.67459160776589,1.30324074074074,0.675805963524536,4.8329335016835,3.05021744951068,321.312222222222,4.0780567080668
"24",23,74.8440748440748,27.1950320358985,11.2266112266112,12.2124780340787,6.86070686070686,14.1796074020667,7.06860706860707,8.72700551049631,1.20769154615308,1.26282020720015,5.38158382078204,3.84422926422526,338.33024948025,4.12856721176783
"25",24,61.1111111111111,33.4179665248104,15.5410312273057,21.2197839605287,15.3231663035585,21.5468828661045,8.02469135802469,7.68582093646874,1.34014041514042,1.59875519925772,4.95457038876156,3.02510269214244,352.487821350762,4.56417750913399
"26",25,56.25,32.6864483967712,25,15.7339443006936,10.4166666666667,11.2227471810077,8.33333333333333,6.91188530889686,0.303685897435897,0.496328611119494,6.35673076923077,3.80057238810323,368.661666666667,3.18341718485899
"27",26,60,30.9980430500398,3.07692307692308,5.17275242394583,20,24.6908072403644,16.9230769230769,10.6320001025155,0.704871794871795,0.838031532934713,7.85025641025641,5.24500525638594,380.990307692308,3.99941010148178
