"","bin","nMonkeys","wtAvgRestPct","wtSdRestPct","wtSeRestPct","wtAvgMovingPct","wtSdMovingPct","wtSeMovingPct","wtAvgFeedingPct","wtSdFeedingPct","wtSeFeedingPct","wtAvgOtherPct","wtSdOtherPct","wtSeOtherPct","wtAvgNumNN","wtSdNumNN","wtSeNumNN","wtAvgDistNN","wtSdDistNN","wtSeDistNN","wtAvgRivDist","wtSdRivDist","wtSeRivDist"
"11","11",54,70.7589285714286,38.7173248044436,5.26876055424941,6.47321428571429,9.23259939879755,1.2563976403656,19.6428571428571,30.8671417697764,4.20048595300564,11.5207373271889,16.8610510958978,2.29449842844137,1.11618327659994,0.981731267425676,0.133596703873818,4.29232882502113,3.43192771444611,0.467026207472725,157.308617511521,3.93397350874278,0.535345986558122
"12","12",44,68.75,33.0664100107296,4.98494887134736,9.9537037037037,13.6516211928381,2.05805933075946,19.6759259259259,25.8107349035947,3.89111469266153,7.65957446808511,10.0497012878534,1.51504947395278,1.07399267399267,0.999355834241022,0.150658560646822,5.42946836038579,3.54277985672937,0.534094159072744,171.693957446809,4.92220644392286,0.742050541598257
"13","13",60,80.4480651731161,29.0850181994746,3.75485970369016,6.31364562118126,8.62219473153124,1.11312055343259,12.2199592668024,23.669216110612,3.05568266047282,9.14826498422713,10.6704213204446,1.37754546903661,1.36733939697423,1.1551482630403,0.149128999505183,4.2284775421804,3.51862199694643,0.454252146525753,187.92214511041,4.56694671974899,0.589590286286814
"14","14",50,78.2608695652174,26.7641972253536,3.78502907021235,7.53623188405797,13.1412050681719,1.85844704333348,5.79710144927536,13.7976584669602,1.95128357329671,11.8987341772152,16.299254380744,2.30506266018172,1.39611286149748,1.22193908206007,0.172808282224308,3.03778900942362,3.37998186551224,0.478001619478253,203.394683544304,4.4619048361265,0.631008633326819
"15","15",29,90.5660377358491,16.4440086822791,3.0535757532422,5.66037735849057,11.3991617439307,2.11677119497413,3.14465408805031,6.43992341921939,1.19586375716626,14.0659340659341,13.831349023527,2.56841703436868,1.02378072661092,0.834092165146526,0.154887026677714,4.92697396141274,3.64742592052661,0.677309989787934,215.705054945055,3.79447290298822,0.704615928924057
"16","16",32,75.9615384615385,27.7852089651172,4.9117774189799,5.28846153846154,7.71086575954987,1.36310136684922,18.2692307692308,24.5074102050988,4.33233898633644,12.133072407045,13.1935033831882,2.332303927465,1.13043153083476,0.906290009211401,0.16021095280875,4.41465230172127,3.12710804089332,0.552799825304662,232.350919765166,4.36282537248566,0.771245851504334
"17","17",33,84.2553191489362,27.4344347265481,4.77572208966709,4.68085106382979,7.79712412186316,1.35730509032957,11.063829787234,20.147325176454,3.50719914049432,9.98080614203455,15.1789417257261,2.64231459550253,1.06207382361229,0.980593858057528,0.170699480255209,5.29267898767899,3.89783736417727,0.678526391652514,249.345316698656,3.82621116388823,0.666057870601186
"18","18",10,81.25,22.7097834805677,7.18146409678601,5.55555555555556,8.06683426591963,2.55095697873984,13.1944444444444,17.6019618176231,5.56622906310062,1.875,5.64266095397459,1.78436606786582,1.12259615384615,0.70536677130895,0.223056558313539,3.9165521978022,1.44145892922094,0.45582933699256,260.087,4.56097098787103,1.44230566636207
"19","19",1,25,0,0,50,0,0,25,0,0,0,0,0,NA,0,0,NA,0,0,276.87,0,0
"20","20",1,93.75,0,0,6.25,0,0,0,0,0,0,0,0,1,0,0,4.38461538461539,0,0,298.78,0,0
"21","21",3,100,0,0,0,0,0,0,0,0,12.5,17.8647400252624,10.3142124625879,2.33333333333333,0.952786134680662,0.550091331338023,2.22222222222222,0,0,305.413333333333,6.73619797219227,3.88914571255982
"22","23",4,81.25,32.7326835353989,16.3663417676994,6.25,10.9108945117996,5.45544725589981,12.5,21.8217890235992,10.9108945117996,0,0,0,1.234375,1.42286807941867,0.711434039709334,7.6953125,4.51553617683279,2.2577680884164,333.05,0,0
"23","24",3,66.6666666666667,47.6731294622796,27.524094128159,33.3333333333333,47.6731294622796,27.524094128159,0,0,0,0,0,0,NA,0,0,NA,0,0,353.333333333333,3.21609588278594,1.85681382366611
"24","25",3,68.75,31.7500317500476,18.3308893776692,15.625,15.8750158750238,9.16544468883458,15.625,15.8750158750238,9.16544468883458,2.08333333333333,2.97745667087707,1.71903541043132,0.9375,0.0893237001263121,0.0515710623129397,2.73005952380952,0.901901406504373,0.520713019827802,367.583333333333,2.97426503228435,1.71719271703066
"25","26",5,66.6666666666667,43.2500563685936,19.3420132141746,8.33333333333333,7.87760989061101,3.52297424312618,25,35.7294800505248,15.9787092387392,10,12.950734303017,5.79174445201688,1.47678571428571,1.26680896742905,0.566534193135536,5.01220238095238,4.33999931911938,1.94090669997075,384.476,5.13367872146182,2.29585091916657
"26","27",13,83.59375,21.263601483086,5.89746195756143,10.9375,13.5848166750416,3.76775023766467,5.46875,12.3265525447221,3.41877055766898,4.90196078431373,10.0015694701927,2.77393627383809,0.881605975723623,0.732770831183867,0.203234061922908,6.29924944336709,4.15033360927099,1.15109543373139,395.556470588235,3.10459936796746,0.861060939306135
"27","28",2,87.5,12.700012700019,8.98026510133874,6.25,6.35000635000952,4.49013255066937,6.25,6.35000635000952,4.49013255066937,0,0,0,0.1875,0.190500190500286,0.134703976520081,11.1875,1.84150184150276,1.30213843969412,417.99,0.985520985521477,0.696868571863886
"28","29",7,71.25,24.7135487874746,9.34084344364565,10,8.53140141633145,3.22456664035389,18.75,23.1942812681123,8.76661429632985,4.46428571428571,7.28620635782456,2.75392714627164,0.666666666666667,0.476393067340331,0.180059654642537,5.42307692307692,5.49473555749349,2.07681482931309,426.631428571429,3.31318927410179,1.25226783796571
"29","30",6,40.3225806451613,24.4564568073524,9.98430668240491,16.1290322580645,12.9073840911102,5.26941748955621,40.3225806451613,22.416285692981,9.15141031270906,6.52173913043478,5.4590951648704,2.22866626853788,1.29791666666667,0.776817443484499,0.317134393305055,6.12708333333333,2.98661965328781,1.21928236772053,437.627826086957,3.45737873968728,1.41146895996344
"30","31",22,72.8323699421965,21.4341164780749,4.56976898757515,13.8728323699422,18.7737243673428,4.00257148378027,6.9364161849711,9.19785761772901,1.96098983303673,16.1849710982659,18.368674383259,3.91621453701377,0.953060741341991,0.799797940723377,0.170517493901966,5.53514497655123,4.50973175487759,0.961478040711545,459.939075144509,3.10902272918176,0.662845873027427
